Gene,NCTId,Overall_Status,Conditions,Phase,Phase_Score,Status_Score,Cancer_Score,Modality_Score,Total_Score,EARLY_PHASE1,N/A,NA,PHASE1,PHASE2,PHASE3,PHASE4
PCOLCE,NCT04820959,COMPLETED,"Valvulopathy, Heart Surgery, Procollagen C-Proteinase Enhancers",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PCYT1A,NCT00075166,COMPLETED,"Brain Neoplasms, Neoplasm Metastasis",PHASE4,6,3,10,16,35,1.0,0.0,28.0,6.0,7.0,1.0,4.0
PDCD1LG2,NCT05930951,COMPLETED,Adenoid Cystic Carcinoma of the Head and Neck,PHASE1,3,3,10,16,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PDE3A,NCT04809805,TERMINATED,Metastatic Melanoma and Other Solid Tumors,PHASE1,3,0,10,16,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PDE4A,NCT04023084,COMPLETED,"Atopic Dermatitis, Eczema",PHASE4,6,3,0,16,25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PDE4B,NCT06795581,RECRUITING,Alcohol Use Disorder,PHASE1,3,2,0,16,21,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PDE4D,NCT01805518,COMPLETED,Adverse Mental/Physical Effects of Low Dose S. Tortuosum.,PHASE1,3,3,0,16,22,0.0,0.0,1.0,3.0,0.0,0.0,0.0
PDE5A,NCT01803828,COMPLETED,"Diabetic Cardiomyopathy, Diabetes Mellitus Type 2",PHASE4,6,3,0,16,25,0.0,0.0,0.0,1.0,2.0,0.0,2.0
PDF,NCT01315314,COMPLETED,"Kidney Failure, Chronic, Disorders Associated With Peritoneal Dialysis",PHASE4,6,3,0,16,25,0.0,0.0,20.0,1.0,2.0,0.0,3.0
PDGFA,NCT01876082,COMPLETED,Progressive Desmoids Tumors,PHASE2,4,3,10,16,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PDK1,NCT04690725,UNKNOWN,"Safety Issues, Efficacy, Self",PHASE1,3,1,0,16,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PDK3,NCT00491517,COMPLETED,Polycystic Kidney,PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PDK4,NCT02469337,UNKNOWN,Insulin Resistance,PHASE4,6,1,0,16,23,0.0,0.0,1.0,0.0,0.0,0.0,1.0
PDPR,NCT00735605,COMPLETED,"Obstructed Defecation, Anismus, Constipation",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PEA15,NCT00948402,COMPLETED,"Polycystic Ovarian Syndrome, Insulin Sensitivity",PHASE3,5,3,0,16,24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
PEMT,NCT05581186,COMPLETED,"Neck Pain, Musculoskeletal Diseases, Chronic Neck Pain, Cervical Disc Disease",NA,0,3,0,16,19,0.0,0.0,4.0,0.0,0.0,0.0,0.0
PER1,NCT02861131,COMPLETED,"Postoperative Complications, Neuromuscular Blockade",PHASE4,6,3,0,16,25,2.0,0.0,55.0,15.0,22.0,19.0,21.0
PER2,NCT03822949,RECRUITING,"Myocardial Ischemia, Critical Illness, Endothelial Dysfunction",NA,0,2,0,16,18,0.0,0.0,4.0,0.0,0.0,0.0,0.0
PER3,NCT02307747,COMPLETED,Infection,NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PERP,NCT03159962,COMPLETED,"Malocclusion, Angle Class II, Malocclusion",NA,0,3,0,16,19,0.0,0.0,3.0,0.0,0.0,0.0,0.0
PEX1,NCT01838941,COMPLETED,Peroxisome Biogenesis Disorders,PHASE3,5,3,0,16,24,0.0,0.0,0.0,0.0,1.0,1.0,0.0
PEX2,NCT03856866,COMPLETED,"Zellweger Syndrome, Peroxisome Biogenesis Disorders",PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PEX26,NCT03856866,COMPLETED,"Zellweger Syndrome, Peroxisome Biogenesis Disorders",PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PEX6,NCT03856866,COMPLETED,"Zellweger Syndrome, Peroxisome Biogenesis Disorders",PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PEX7,NCT00007020,COMPLETED,"Infantile Refsum's Disease, Zellweger Syndrome, Adrenoleukodystrophy, Peroxisomal Disorders, Cholestasis",PHASE3,5,3,0,16,24,0.0,0.0,1.0,0.0,1.0,2.0,0.0
PFAS,NCT06588530,NOT_YET_RECRUITING,"Innate Inflammatory Response, Vaccination, Diphtheria, Tetanus, Environmental Exposure, Vaccine, Antibodies, Adult, Immunity, Pollution; Exposure",PHASE4,6,2,0,16,24,1.0,0.0,6.0,0.0,1.0,0.0,1.0
PGD,NCT01888744,COMPLETED,"Reproductive Endocrinology, Fertility, Optimal Stimulation Protocol",PHASE4,6,3,0,16,25,3.0,0.0,34.0,1.0,7.0,3.0,7.0
PGLS,NCT02186678,COMPLETED,"Paragangliomas, Pheochromocytomas",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PGM1,NCT05402332,NOT_YET_RECRUITING,PGM1-CDG - Phosphoglucomutase 1-Related Congenital Disorder of Glycosylation,PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PGM3,NCT02511041,TERMINATED,PGM3,PHASE1,3,0,0,16,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PGP,NCT00027014,COMPLETED,Pain,PHASE4,6,3,0,16,25,1.0,0.0,24.0,19.0,5.0,2.0,3.0
PHACTR1,NCT04508998,COMPLETED,Microvascular Angina,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PHEX,NCT04695860,COMPLETED,X-linked Hypophosphatemia,PHASE3,5,3,0,16,24,0.0,0.0,0.0,0.0,0.0,2.0,0.0
PHIP,NCT01092689,WITHDRAWN,Pancreas Cancer,PHASE1,3,0,10,16,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PHYH,NCT00007020,COMPLETED,"Infantile Refsum's Disease, Zellweger Syndrome, Adrenoleukodystrophy, Peroxisomal Disorders, Cholestasis",PHASE3,5,3,0,16,24,0.0,0.0,1.0,0.0,1.0,2.0,0.0
PI4KB,NCT05016687,COMPLETED,"Pulmonary Disease, Chronic Obstructive, Enterovirus Infections, Rhinovirus",PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIEZO1,NCT04372498,COMPLETED,Dehydrated Hereditary Stomatocytosis,PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIGA,NCT03837054,UNKNOWN,Breast Cancer Female,NA,0,1,10,16,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PIGF,NCT04810585,RECRUITING,Recurrent or Metastatic Colorectal Cancer,PHASE4,6,2,10,16,34,0.0,0.0,4.0,3.0,1.0,0.0,3.0
PIGS,NCT01379326,COMPLETED,"Ascaris Lumbricoides, Ascaris Suum, Trichuris Trichiura, Trichuris Vulpis, Ancylostoma Duodenal, Ancylostoma Caninum, Ancylostoma Ceylanicum, Necator Americanus",PHASE4,6,3,0,16,25,1.0,0.0,26.0,9.0,8.0,3.0,2.0
PIGT,NCT04249622,ACTIVE_NOT_RECRUITING,"Anatomic Stage I Breast Cancer AJCC V8, Anatomic Stage IA Breast Cancer AJCC V8, Anatomic Stage IB Breast Cancer AJCC V8, Anatomic Stage II Breast Cancer AJCC V8, Anatomic Stage IIA Breast Cancer AJCC V8, Anatomic Stage IIB Breast Cancer AJCC V8, Anatomic Stage III Breast Cancer AJCC V8, Anatomic Stage IIIA Breast Cancer AJCC V8, Anatomic Stage IIIB Breast Cancer AJCC V8, Anatomic Stage IIIC Breast Cancer AJCC V8, HER2 Positive Breast Carcinoma, Prognostic Stage I Breast Cancer AJCC V8, Prognostic Stage IA Breast Cancer AJCC V8, Prognostic Stage IB Breast Cancer AJCC V8, Prognostic Stage II Breast Cancer AJCC V8, Prognostic Stage IIA Breast Cancer AJCC V8, Prognostic Stage IIB Breast Cancer AJCC V8, Prognostic Stage III Breast Cancer AJCC V8, Prognostic Stage IIIA Breast Cancer AJCC V8, Prognostic Stage IIIB Breast Cancer AJCC V8, Prognostic Stage IIIC Breast Cancer AJCC V8",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PIK3CA,NCT02688881,COMPLETED,Refractory Solid Tumors,PHASE4,6,3,10,16,35,1.0,0.0,6.0,67.0,77.0,18.0,2.0
PIK3CB,NCT01884285,COMPLETED,"Advanced Castrate-resistant Prostate Cancer CRPC, Squamous Non-Small Cell Lung Cancer sqNSCLC, Triple Negative Breast Cancer TNBC",PHASE1,3,3,10,16,32,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PIK3CD,NCT03383380,COMPLETED,"Activated PI3K-delta Syndrome, Immunodeficiency Primary",PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIK3R1,NCT05082025,ACTIVE_NOT_RECRUITING,"Endometrial Cancer, Ovarian Cancer",PHASE2,4,2,10,16,32,0.0,0.0,0.0,1.0,3.0,0.0,0.0
PIK3R2,NCT02065687,UNKNOWN,"Endometrial Adenocarcinoma, Endometrial Clear Cell Adenocarcinoma, Endometrial Serous Adenocarcinoma, Endometrial Undifferentiated Carcinoma, Recurrent Uterine Corpus Carcinoma, Stage III Uterine Corpus Cancer AJCC v7, Stage IIIA Uterine Corpus Cancer AJCC v7, Stage IIIB Uterine Corpus Cancer AJCC v7, Stage IIIC Uterine Corpus Cancer AJCC v7, Stage IV Uterine Corpus Cancer AJCC v7, Stage IVA Uterine Corpus Cancer AJCC v7, Stage IVB Uterine Corpus Cancer AJCC v7",PHASE2,4,1,10,16,31,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PIM1,NCT02028832,COMPLETED,"Pain, Nausea, Vomiting, Anxiety",PHASE3,5,3,0,16,24,0.0,0.0,0.0,1.0,0.0,1.0,0.0
PIN1,NCT01691612,COMPLETED,Asthma,PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,2.0,0.0,0.0
PINK1,NCT04767841,RECRUITING,Osteo Arthritis Knee,PHASE1,3,2,0,16,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PIR,NCT00755729,COMPLETED,Colorectal Disease,PHASE4,6,3,0,16,25,1.0,0.0,23.0,0.0,1.0,1.0,2.0
PITX1,NCT02688491,NOT_YET_RECRUITING,"Renal Neoplasms, Targeted Molecular Therapy",NA,0,2,10,16,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PKD1,NCT00491517,COMPLETED,Polycystic Kidney,PHASE2,4,3,0,16,23,0.0,0.0,5.0,1.0,3.0,0.0,0.0
PKD2,NCT00491517,COMPLETED,Polycystic Kidney,PHASE2,4,3,0,16,23,0.0,0.0,3.0,0.0,4.0,0.0,0.0
PKM,NCT01252771,COMPLETED,"Hyperphosphatemia, ESRD",PHASE4,6,3,0,16,25,0.0,0.0,2.0,0.0,0.0,0.0,1.0
PLAT,NCT01057420,COMPLETED,Healthy Volunteers,PHASE4,6,3,0,16,25,1.0,0.0,59.0,34.0,88.0,25.0,25.0
PLAU,NCT02122731,COMPLETED,"Hypertension, Type 2 Diabetes Mellitus, Microalbuminuria",PHASE4,6,3,0,16,25,1.0,0.0,8.0,3.0,7.0,1.0,2.0
PLCG2,NCT04963946,RECRUITING,Untreated Chronic Lymphocytic Leukemia,PHASE2,4,2,10,16,32,0.0,0.0,0.0,1.0,3.0,0.0,0.0
PLEC,NCT02638376,UNKNOWN,"Keratoconus, Post LASIK Keratectasia",PHASE3,5,1,0,16,22,1.0,0.0,0.0,0.0,0.0,1.0,0.0
PLIN2,NCT02684929,COMPLETED,Type 2 Diabetes Mellitus With Features of Insulin Resistance,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PLK1,NCT00710710,COMPLETED,Pancreatic Neoplasms,PHASE2,4,3,10,16,33,0.0,0.0,0.0,8.0,4.0,0.0,0.0
PLK4,NCT01954316,COMPLETED,Advanced Cancer,PHASE1,3,3,10,16,32,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PLN,NCT04186819,COMPLETED,Prostate Cancer,PHASE3,5,3,10,16,34,0.0,0.0,2.0,0.0,1.0,2.0,0.0
PLS3,NCT02539472,UNKNOWN,Cutaneous T Cell Lymphoma,NA,0,1,10,16,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PLTP,NCT01950962,COMPLETED,Patients With Periodontal Disease,NA,0,3,0,16,19,0.0,0.0,4.0,0.0,0.0,0.0,0.0
PLXNA1,NCT06617546,RECRUITING,Healthy Volunteers,PHASE1,3,2,0,16,21,0.0,0.0,1.0,1.0,0.0,0.0,0.0
PLXNA3,NCT02696343,COMPLETED,"Infant, Extremely Low Birth Weight, Feeding Behavior",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PMEL,NCT00028431,COMPLETED,Melanoma,PHASE1,3,3,10,16,32,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PML,NCT00504764,COMPLETED,Acute Promyelocytic Leukemia,PHASE4,6,3,10,16,35,2.0,0.0,12.0,4.0,18.0,10.0,7.0
PMM2,NCT04925960,ACTIVE_NOT_RECRUITING,"Pmm2-CDG, Phosphomannomutase 2 Deficiency, Phosphomannomutase 2 Congenital Disorder of Glycosylation, Phosphomannomutase II Congenital Disorder of Glycosylation, Phosphomannomutase II Deficiency",PHASE3,5,2,0,16,23,0.0,0.0,0.0,0.0,3.0,1.0,0.0
PMP22,NCT01401257,COMPLETED,"Charcot-Marie-Tooth Disease, Hereditary Neuropathy With Liability to Pressure Palsies, Genetic Disorders",PHASE2,4,3,0,16,23,0.0,0.0,0.0,1.0,3.0,0.0,0.0
PMS1,NCT03806075,UNKNOWN,Peutz-Jeghers Syndrome,NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PMS2,NCT03012321,ACTIVE_NOT_RECRUITING,"Prostate Cancer Metastatic Castration-Resistant, Abnormal DNA Repair, Metastatic Prostate Carcinoma, Stage IV Prostate Cancer",PHASE2,4,2,10,16,32,0.0,0.0,3.0,0.0,1.0,0.0,0.0
PNN,NCT05648565,COMPLETED,Chronic Rhinitis,NA,0,3,0,16,19,0.0,0.0,3.0,0.0,0.0,0.0,0.0
PNP,NCT01713426,COMPLETED,"Non-diabetic Painful Peripheral Polyneuropathy, Postherpetic Neuralgia (PHN), Peripheral Nerve Injury (PNI)",PHASE4,6,3,0,16,25,0.0,0.0,16.0,9.0,4.0,1.0,6.0
PNPLA2,NCT01527318,COMPLETED,Neutral Lipid Storage Disease,PHASE4,6,3,0,16,25,0.0,0.0,1.0,0.0,0.0,0.0,1.0
PNPO,NCT04706013,RECRUITING,Pyridox(am)Ine 5'-Phosphate Oxidase Deficiency,PHASE3,5,2,0,16,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0
POLB,NCT05765955,COMPLETED,"Influenza, Human",PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
POLD1,NCT03810339,RECRUITING,"Solid Tumor, Advanced Cancer",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,7.0,0.0,0.0
POLE,NCT00312416,COMPLETED,"Ocular Physiology, Regional Blood Flow",PHASE4,6,3,0,16,25,0.0,0.0,88.0,5.0,20.0,4.0,9.0
POLG,NCT04802707,RECRUITING,"Mitochondrial Diseases, Mitochondrial Encephalomyopathy, Mitochondrial Encephalopathy, Mitochondrial DNA Depletion, Mitochondrial Metabolism Disorders",PHASE2,4,2,0,16,22,0.0,0.0,1.0,0.0,2.0,0.0,0.0
POLI,NCT00339625,COMPLETED,"Diet, Polyps, Adenoma",PHASE3,5,3,0,16,24,0.0,0.0,3.0,0.0,1.0,2.0,0.0
POLL,NCT02123056,ACTIVE_NOT_RECRUITING,Vasovagal Syncope,PHASE4,6,2,0,16,24,0.0,0.0,10.0,0.0,0.0,0.0,2.0
POLQ,NCT05687110,RECRUITING,"Metastatic Malignant Solid Neoplasm, Unresectable Malignant Solid Neoplasm",PHASE1,3,2,10,16,31,0.0,0.0,1.0,1.0,0.0,0.0,0.0
POLR3F,NCT03020524,COMPLETED,Hiv,EARLY_PHASE1,2,3,0,16,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POMC,NCT02413944,COMPLETED,Healthy,PHASE4,6,3,0,16,25,7.0,0.0,65.0,8.0,38.0,18.0,48.0
POMP,NCT01269788,COMPLETED,Non-erosive Reflux Disease,PHASE2,4,3,0,16,23,0.0,0.0,4.0,1.0,2.0,0.0,0.0
PON2,NCT05197556,COMPLETED,Obesity,PHASE2,4,3,0,16,23,0.0,0.0,1.0,0.0,1.0,0.0,0.0
POR,NCT01577472,COMPLETED,"Female Infertility, Ovarian Insufficiency",PHASE4,6,3,0,16,25,4.0,0.0,291.0,3.0,14.0,22.0,15.0
POU2F1,NCT02743260,COMPLETED,Healthy,PHASE4,6,3,0,16,25,0.0,0.0,2.0,6.0,0.0,0.0,6.0
POU2F2,NCT00187720,COMPLETED,Other Conditions That May Be A Focus of Clinical Attention,PHASE4,6,3,0,16,25,0.0,0.0,1.0,8.0,2.0,1.0,3.0
PPA1,NCT00742781,COMPLETED,Inflammatory Bowel Disease,PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PPARA,NCT00745225,COMPLETED,End-stage Renal Disease,PHASE4,6,3,0,16,25,3.0,0.0,21.0,2.0,15.0,9.0,11.0
PPCS,NCT02644876,COMPLETED,Postoperative Complications,PHASE4,6,3,0,16,25,2.0,0.0,56.0,2.0,5.0,2.0,3.0
PPIA,NCT00176670,COMPLETED,Anxiety,PHASE2,4,3,0,16,23,0.0,0.0,5.0,1.0,2.0,0.0,0.0
PPIB,NCT01684748,COMPLETED,"Overweight, Obese, Prehypertension, Hypertension",PHASE4,6,3,0,16,25,0.0,0.0,0.0,0.0,1.0,1.0,2.0
PPIE,NCT05330234,COMPLETED,Research With Clinical Staff in Stroke Rehabilitation,NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PPIH,NCT02518659,COMPLETED,"Hypomagnesemia, Intestinal, With Secondary Hypocalcemia, Drug Induced Hypomagnesemia",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PPL,NCT02395939,UNKNOWN,Lung Cancer,PHASE3,5,1,10,16,32,0.0,0.0,24.0,1.0,1.0,1.0,0.0
PPOX,NCT02593682,COMPLETED,Panic Disorder,PHASE4,6,3,0,16,25,2.0,0.0,4.0,0.0,4.0,0.0,7.0
PPP2R5D,NCT06717438,NOT_YET_RECRUITING,"Jordan's Syndrome, PPP2R5D Neurodevelopmental Disorder",PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PPT1,NCT00028262,COMPLETED,Infantile Neronal Ceroid Lipofuscinosis,PHASE4,6,3,0,16,25,0.0,0.0,5.0,1.0,0.0,0.0,1.0
PPT2,NCT03636386,COMPLETED,Myofascial Trigger Point Pain (MTrP),NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRCC,NCT03091192,ACTIVE_NOT_RECRUITING,"Carcinoma, Carcinoma, Renal Cell, Kidney Neoplasms, Urologic Neoplasms, Kidney Diseases, Neoplasms by Site, Enzyme Inhibitors, Protein Kinase Inhibitors",PHASE3,5,2,10,16,33,0.0,0.0,0.0,1.0,4.0,3.0,0.0
PRDX1,NCT03364296,RECRUITING,"Stroke, Acute",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PREP,NCT01169220,COMPLETED,"Gastrointestinal Hemorrhage, Colon Cancer, Diverticulosis",PHASE4,6,3,10,16,35,5.0,0.0,435.0,34.0,45.0,58.0,82.0
PREPL,NCT02640443,UNKNOWN,"Hypotonia Cystinuria Syndrome, Isolated PREPL Deficiency",PHASE2,4,1,0,16,21,0.0,0.0,1.0,0.0,1.0,0.0,0.0
PRKAA1,NCT03393377,COMPLETED,Atherosclerosis,NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRKACA,NCT04565145,COMPLETED,Pharmacokinetics,PHASE2,4,3,0,16,23,0.0,0.0,0.0,4.0,1.0,0.0,0.0
PRKCSH,NCT02021110,COMPLETED,"Polycystic Liver Disease, Polycystic Kidney, Autosomal Dominant",PHASE2,4,3,0,16,23,0.0,0.0,0.0,0.0,2.0,0.0,0.0
PRMT1,NCT06224387,RECRUITING,"Solid Tumors, Pancreatic Cancer, Non-small Cell Lung Cancer, Triple-negative Breast Cancer",PHASE1,3,2,10,16,31,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PRMT5,NCT04676516,COMPLETED,Breast Cancer,PHASE2,4,3,10,16,33,0.0,0.0,1.0,9.0,1.0,0.0,0.0
PRNP,NCT02951559,UNKNOWN,"Encephalopathy, HIV-encephalopathy, Alzheimer Dementia",PHASE4,6,1,0,16,23,0.0,0.0,2.0,1.0,2.0,0.0,1.0
PROCR,NCT03625726,UNKNOWN,Cirrhosis,NA,0,1,0,16,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PROS1,NCT03418363,COMPLETED,"Contraceptive Usage, Coagulation",PHASE4,6,3,0,16,25,1.0,0.0,1.0,5.0,2.0,2.0,1.0
PRPF31,NCT06455826,NOT_YET_RECRUITING,"Retinitis Pigmentosa 11, Retinal Degeneration, Eye Diseases, Retinal Disease, Retinal Dystrophies",PHASE1,3,2,0,16,21,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PRRT2,NCT03481491,COMPLETED,Dystonia,NA,0,3,0,16,19,0.0,0.0,2.0,0.0,0.0,0.0,0.0
PSAP,NCT03638466,TERMINATED,"Attention Deficit Hyperactivity Disorder (ADHD), Impulsive Aggression",PHASE2,4,0,0,16,20,0.0,0.0,3.0,0.0,1.0,0.0,0.0
PSEN1,NCT01998841,COMPLETED,Alzheimer's Disease,PHASE2,4,3,0,16,23,0.0,0.0,4.0,3.0,3.0,0.0,0.0
PSEN2,NCT01836575,COMPLETED,Non Small Cell Lung Carcinoma,PHASE3,5,3,10,16,34,0.0,0.0,2.0,3.0,2.0,2.0,0.0
PSMA1,NCT06059014,SUSPENDED,Metastatic Clear Cell Renal Cell Carcinoma,PHASE1,3,0,10,16,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PSMB9,NCT06250517,RECRUITING,Lung Transplant Failure,NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PSME3,NCT05608837,RECRUITING,"Uveitis Related Cystoid Macular Edema, Cystoid Macular Edema, Postoperative",PHASE2,4,2,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PTCH1,NCT01358045,COMPLETED,Basal Cell Carcinoma,PHASE2,4,3,10,16,33,0.0,0.0,0.0,1.0,4.0,0.0,0.0
PTCH2,NCT00822458,COMPLETED,Recurrent Childhood Medulloblastoma,PHASE1,3,3,0,16,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PTEN,NCT00490139,COMPLETED,"Neoplasms, Breast",PHASE3,5,3,10,16,34,1.0,0.0,12.0,56.0,70.0,9.0,0.0
PTK2,NCT02428270,COMPLETED,"Pancreatic Cancer, Adenocarcinoma",PHASE2,4,3,10,16,33,0.0,0.0,1.0,9.0,5.0,0.0,0.0
PTK2B,NCT00666926,COMPLETED,"Head and Neck Neoplasm, Prostatic Neoplasm, Pancreatic Neoplasm",PHASE1,3,3,10,16,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PTK7,NCT03243331,COMPLETED,"Triple Negative Breast Cancer, Metastatic Breast Cancer",PHASE1,3,3,10,16,32,1.0,0.0,3.0,3.0,0.0,0.0,0.0
PTMA,NCT00815386,SUSPENDED,"Mitral Regurgitation, Heart Failure",PHASE2,4,0,0,16,20,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PTMS,NCT01330693,UNKNOWN,Attention Deficit Disorder With Hyperactivity,PHASE3,5,1,0,16,22,0.0,0.0,2.0,0.0,0.0,1.0,0.0
PTPN1,NCT02295514,COMPLETED,Sepsis,NA,0,3,0,16,19,0.0,0.0,3.0,0.0,0.0,0.0,0.0
PTPN11,NCT01529944,COMPLETED,"Genetic Disorder, Noonan Syndrome",PHASE3,5,3,0,16,24,0.0,0.0,2.0,4.0,0.0,1.0,0.0
PTS,NCT01082627,COMPLETED,Small Bowel Obstruction,PHASE4,6,3,0,16,25,2.0,0.0,107.0,44.0,76.0,35.0,26.0
PTTG1,NCT02224599,TERMINATED,"Progressive Solid Malignancies, Refractory Solid Malignancies, Cancer",PHASE1,3,0,10,16,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PURA,NCT04848948,COMPLETED,"Neuroendocrinology, Mental Stress, Psychological, Obesity",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PVR,NCT01824420,COMPLETED,Overactive Bladder,PHASE4,6,3,0,16,25,3.0,0.0,70.0,21.0,51.0,18.0,22.0
PXN,NCT02051075,WITHDRAWN,Infertility,PHASE4,6,0,0,16,22,0.0,0.0,1.0,1.0,0.0,0.0,1.0
PYCARD,NCT04315376,COMPLETED,"Inflammatory Response, Obesity, Abdominal Obesity, Diet Habit, Exercise",NA,0,3,0,16,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0
QSOX1,NCT04064034,COMPLETED,"Pancreas Cancer, Pancreas Cyst",NA,0,3,10,16,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RAB32,NCT06819449,RECRUITING,"Leprosy, Mycobacterium Leprae Infection",NA,0,2,0,16,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0
RABEP2,NCT04091412,UNKNOWN,"Collateral Circulation, Large-artery Occlusion, Cerebral Infarction",PHASE4,6,1,0,16,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RAC1,NCT05828082,RECRUITING,"Castration-Resistant Prostate Carcinoma, Refractory Prostate Carcinoma",PHASE2,4,2,10,16,32,0.0,0.0,1.0,1.0,1.0,0.0,0.0
RAD50,NCT04508803,COMPLETED,Treatment Efficacy,PHASE2,4,3,0,16,23,0.0,0.0,0.0,2.0,2.0,0.0,0.0
RAD51,NCT01638546,COMPLETED,Recurrent Small Cell Lung Carcinoma,PHASE2,4,3,10,16,33,0.0,0.0,1.0,10.0,10.0,0.0,0.0
RAD51B,NCT03786796,RECRUITING,"Renal Cell Carcinoma, Metastatic Renal Cell Carcinoma, Kidney Cancer, Renal Carcinoma, Kidney Cancer Metastatic",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,3.0,0.0,0.0
RAD51C,NCT02873975,COMPLETED,Advanced Cancers,PHASE2,4,3,10,16,33,0.0,0.0,1.0,0.0,10.0,0.0,0.0
RAD51D,NCT02873975,COMPLETED,Advanced Cancers,PHASE2,4,3,10,16,33,0.0,0.0,1.0,0.0,10.0,0.0,0.0
RAD54L,NCT03786796,RECRUITING,"Renal Cell Carcinoma, Metastatic Renal Cell Carcinoma, Kidney Cancer, Renal Carcinoma, Kidney Cancer Metastatic",PHASE2,4,2,10,16,32,0.0,0.0,0.0,0.0,3.0,0.0,0.0
RAF1,NCT01262482,COMPLETED,Advanced or Metastatic Gastric or Gastroesophageal Junction Adenocarcinoma (Relapsed After a Cisplatin Based Treatment),PHASE2,4,3,10,16,33,0.0,0.0,0.0,6.0,5.0,0.0,0.0
RAN,NCT02168569,COMPLETED,Malaria,PHASE4,6,3,0,16,25,3.0,0.0,108.0,25.0,22.0,16.0,17.0
